name,flag,description,source,header,cfg,is_analysis
CorrelatedValuePropagationPass,-correlated-propagation,Value Propagation,lib/Transforms/Scalar/CorrelatedValuePropagation.cpp,,False,False
CostModelAnalysis,-cost-model,Cost Model Analysis,lib/Analysis/CostModel.cpp,,False,True
CrossDSOCFIPass,-cross-dso-cfi,Cross-DSO CFI,lib/Transforms/IPO/CrossDSOCFI.cpp,,False,False
CycleInfoWrapperPass,-cycles,Cycle Info Analysis,lib/Analysis/CycleAnalysis.cpp,,True,True
DAH,-deadarghaX0r,Dead Argument Hacking (BUGPOINT USE ONLY; DO NOT USE),lib/Transforms/IPO/DeadArgumentElimination.cpp,,False,False
DFAJumpThreadingLegacyPass,-dfa-jump-threading,DFA Jump Threading,lib/Transforms/Scalar/DFAJumpThreading.cpp,,False,False
DXContainerGlobals,-dxil-globals,DXContainer Global Emitter,lib/Target/DirectX/DXContainerGlobals.cpp,,False,True
DXILOpLoweringLegacy,-dxil-op-lower,DXIL Op Lowering,lib/Target/DirectX/DXILOpLowering.cpp,,False,False
DXILPrepareModule,-dxil-prepare,DXIL Prepare Module,lib/Target/DirectX/DXILPrepare.cpp,,False,False
DXILPrettyPrinter,-dxil-pretty-printer,DXIL Metadata Pretty Printer,lib/Target/DirectX/DXILPrettyPrinter.cpp,,True,True
DXILResourceWrapper,-dxil-resource-analysis,DXIL resource Information,lib/Target/DirectX/DXILResourceAnalysis.cpp,,True,True
DXILTranslateMetadata,-dxil-metadata-emit,DXIL Metadata Emit,lib/Target/DirectX/DXILTranslateMetadata.cpp,,False,False
DeadArgEliminationPass,-deadargelim,Dead Argument Elimination,lib/Transforms/IPO/DeadArgumentElimination.cpp,,False,False
DeadCodeEliminationPass,-dce,Dead Code Elimination,lib/Transforms/Scalar/DCE.cpp,,False,False
DeadMachineInstructionElim,-dead-mi-elimination,Remove dead machine instructions,lib/CodeGen/DeadMachineInstructionElim.cpp,,False,False
DeadStoreEliminationPass,-dse,Dead Store Elimination,lib/Transforms/Scalar/DeadStoreElimination.cpp,,False,False
DebugifyMachineModule,-mir-debugify,Machine Debugify Module,lib/CodeGen/MachineDebugify.cpp,,False,False
Delinearization,-delinearize,Delinearization,lib/Analysis/Delinearization.cpp,,True,True
DemandedBitsWrapperPass,-demanded-bits,Demanded bits analysis,lib/Analysis/DemandedBits.cpp,,False,False
DependenceAnalysisWrapperPass,-da,Dependence Analysis,lib/Analysis/DependenceAnalysis.cpp,,True,True
DetectDeadLanes,-detect-dead-lanes,Detect Dead Lanes,lib/CodeGen/DetectDeadLanes.cpp,,False,False
DivRemPairsPass,-div-rem-pairs,Hoist/decompose integer division and remainder,lib/Transforms/Scalar/DivRemPairs.cpp,,False,False
DomOnlyPrinterWrapperPass,-dot-dom-only,"Print dominance tree of function to 'dot' file "" ""(with no function bodies)",lib/Analysis/DomPrinter.cpp,,False,False
DomOnlyViewerWrapperPass,-view-dom-only,View dominance tree of function (with no function bodies),lib/Analysis/DomPrinter.cpp,,False,False
DomPrinterWrapperPass,-dot-dom,Print dominance tree of function to 'dot' file,lib/Analysis/DomPrinter.cpp,,False,False
DomViewerWrapperPass,-view-dom,View dominance tree of function,lib/Analysis/DomPrinter.cpp,,False,False
DominanceFrontierWrapperPass,-domfrontier,Dominance Frontier Construction,lib/Analysis/DominanceFrontier.cpp,,True,True
DominatorTreeWrapperPass,-domtree,Dominator Tree Construction,lib/IR/Dominators.cpp,,True,True
DummyCGSCCPass,-DummyCGSCCPass,DummyCGSCCPass,lib/Analysis/CallGraphSCCPass.cpp,,False,False
DwarfEHPrepareLegacyPass,-dwarfehprepare,Prepare DWARF exceptions,lib/CodeGen/DwarfEHPrepare.cpp,,False,False
EHContGuardCatchret,-EHContGuardCatchret,Insert symbols at valid catchret targets for /guard:ehcont,lib/CodeGen/EHContGuardCatchret.cpp,,False,False
EarlyCSEMemSSAPass,-early-cse-memssa,Early CSE w/ MemorySSA,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EarlyCSEPass,-early-cse,Early CSE,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EarlyIfConverter,-early-if-predicator,Early If Converter,lib/CodeGen/EarlyIfConversion.cpp,,False,False
EarlyIfPredicator,-early-if-predicator,Early If Predicator,lib/CodeGen/EarlyIfConversion.cpp,,False,False
EarlyMachineLICM,-early-machinelicm,Early Machine Loop Invariant Code Motion,lib/CodeGen/MachineLICM.cpp,,False,False
EarlyTailDuplicate,-early-tailduplication,Early Tail Duplication,lib/CodeGen/TailDuplication.cpp,,False,False
EdgeBundles,-edge-bundles,Bundle Machine CFG Edges,lib/CodeGen/EdgeBundles.cpp,,True,True
EliminateAvailableExternallyPass,-elim-avail-extern,Eliminate Available Externally Globals,lib/Transforms/IPO/ElimAvailExtern.cpp,,False,False
